"","X","Y","Z","loc","jaar"
"1:397",205869.139,188413.788,22.141,"controle4-21","2016"
"1:398",205868.768,188414.57,21.838,"controle4-22","2016"
"1:399",205867.906,188416.041,21.6,"controle4-23","2016"
"1:400",205867.406,188416.98,21.707,"controle4-24","2016"
"1:401",205867.067,188417.942,21.692,"controle4-25","2016"
"1:402",205869.126,188419.232,21.738,"controle4-26","2016"
"1:403",205869.78,188418.396,21.633,"controle4-27","2016"
"1:404",205870.486,188417.42,21.663,"controle4-28","2016"
"1:405",205870.946,188416.905,21.807,"controle4-29","2016"
"1:406",205871.412,188415.766,21.998,"controle4-30","2016"
"1:407",205874.476,188417.699,21.965,"controle4-31","2016"
"1:408",205873.761,188418.647,21.836,"controle4-32","2016"
"1:409",205873.289,188419.515,21.62,"controle4-33","2016"
"1:410",205872.946,188420.249,21.668,"controle4-34","2016"
"1:411",205872.642,188421.114,21.695,"controle4-35","2016"
"1:412",205875.049,188422.74,21.722,"controle4-36","2016"
"1:413",205875.504,188421.932,21.811,"controle4-37","2016"
"1:414",205876.17,188421.03,21.785,"controle4-38","2016"
"1:415",205876.58,188420.251,21.756,"controle4-39","2016"
"1:416",205877.204,188419.475,21.878,"controle4-40","2016"
"1:417",205880.263,188421.221,21.95,"controle4-41","2016"
"1:418",205879.742,188422.033,21.629,"controle4-42","2016"
"1:419",205879.187,188422.863,21.534,"controle4-43","2016"
"1:420",205878.696,188423.605,21.59,"controle4-44","2016"
"1:421",205878.17,188424.563,21.715,"controle4-45","2016"
"1:422",205880.411,188425.983,21.668,"controle4-46","2016"
"1:423",205880.952,188425.137,21.4,"controle4-47","2016"
"1:424",205881.445,188424.081,21.506,"controle4-48","2016"
"1:425",205882.056,188423.56,21.746,"controle4-49","2016"
"1:426",205882.731,188422.697,21.917,"controle4-50","2016"
"1:427",205885.761,188424.659,22.156,"controle4-51","2016"
"1:428",205885.048,188425.658,21.767,"controle4-52","2016"
"1:429",205884.389,188426.552,21.537,"controle4-53","2016"
"1:430",205883.924,188427.443,21.611,"controle4-54","2016"
"1:431",205883.361,188428.259,21.765,"controle4-55","2016"
"1:432",205886.537,188430.267,21.562,"controle4-56","2016"
"1:433",205886.972,188429.524,21.751,"controle4-57","2016"
"1:434",205887.438,188428.605,21.649,"controle4-58","2016"
"1:435",205888.068,188427.696,21.773,"controle4-59","2016"
"1:436",205888.795,188426.78,22.172,"controle4-60","2016"
"1:437",205891.659,188428.598,22.136,"controle4-61","2016"
"1:438",205891.392,188429.448,21.852,"controle4-62","2016"
"1:439",205890.843,188430.433,21.638,"controle4-63","2016"
"1:440",205890.337,188431.46,21.603,"controle4-64","2016"
"1:441",205890.037,188432.197,21.568,"controle4-65","2016"
"1:442",205891.982,188434.168,21.728,"controle4-66","2016"
"1:443",205892.73,188433.243,21.707,"controle4-67","2016"
"1:444",205892.907,188431.946,21.71,"controle4-68","2016"
"1:445",205893.32,188430.975,21.663,"controle4-69","2016"
"1:446",205893.821,188429.895,22.155,"controle4-70","2016"
"1:447",205896.812,188433.27,21.519,"controle4-71","2016"
"1:448",205896.442,188434.187,21.653,"controle4-72","2016"
"1:449",206617.227,189521.631,22.694,"laren1-1","2016"
"1:450",206616.527,189521.181,22.577,"laren1-2","2016"
"1:451",206615.775,189520.915,22.56,"laren1-3","2016"
"1:452",206615.011,189520.402,22.601,"laren1-4","2016"
"1:453",206614.47,189520.043,22.619,"laren1-5","2016"
"1:454",206613.177,189527.715,22.806,"laren1-6","2016"
"1:455",206612.622,189527.547,22.575,"laren1-7","2016"
"1:456",206611.544,189527.058,22.547,"laren1-8","2016"
"1:457",206610.602,189526.737,22.546,"laren1-9","2016"
"1:458",206609.652,189526.433,22.634,"laren1-10","2016"
"1:459",206610.963,189532.238,22.755,"laren1-11","2016"
"1:460",206610.205,189531.871,22.566,"laren1-12","2016"
"1:461",206609.312,189531.495,22.504,"laren1-13","2016"
"1:462",206608.329,189530.922,22.531,"laren1-14","2016"
"1:463",206607.795,189530.508,22.653,"laren1-15","2016"
